measure_id,expires,commodity,commodity_description,measure_type,geographical_area,additional_code,exporter
20286562,2027-02-20,8427109000,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286577,2027-02-20,8427109000,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286607,2027-02-20,8427109000,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286622,2027-02-20,8427109000,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286637,2027-02-20,8427109000,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286652,2027-02-20,8427109000,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286667,2027-02-20,8427109000,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286682,2027-02-20,8427109000,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286697,2027-02-20,8427109000,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286712,2027-02-20,8427109000,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286727,2027-02-20,8427109000,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286742,2027-02-20,8427109000,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286757,2027-02-20,8427109000,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286772,2027-02-20,8427109000,Other,551,CN,14114,Joovoo Industries Inc
20286787,2027-02-20,8427109000,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286802,2027-02-20,8427109000,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286592,2027-02-20,8427109000,Other,551,CN,11386,All other overseas exporters (residual amount)
20286563,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286578,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14102,Lingong Heavy Machinery Co Ltd
20286608,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286623,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286638,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286653,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286668,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286683,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286698,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286713,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286728,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286743,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286758,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286773,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14114,Joovoo Industries Inc
20286788,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14115,Jinan Juxin Machinery Co Ltd
20286803,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286593,2027-02-20,8427201910,"Mobile access equipment designed for the lifting of persons, with a maximum working height of 6 meters or more",551,CN,11386,All other overseas exporters (residual amount)
20286564,2027-02-20,8427201990,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286579,2027-02-20,8427201990,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286609,2027-02-20,8427201990,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286624,2027-02-20,8427201990,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286639,2027-02-20,8427201990,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286654,2027-02-20,8427201990,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286669,2027-02-20,8427201990,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286684,2027-02-20,8427201990,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286699,2027-02-20,8427201990,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286714,2027-02-20,8427201990,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286729,2027-02-20,8427201990,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286744,2027-02-20,8427201990,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286759,2027-02-20,8427201990,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286774,2027-02-20,8427201990,Other,551,CN,14114,Joovoo Industries Inc
20286789,2027-02-20,8427201990,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286804,2027-02-20,8427201990,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286594,2027-02-20,8427201990,Other,551,CN,11386,All other overseas exporters (residual amount)
20286565,2027-02-20,8427209000,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286580,2027-02-20,8427209000,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286610,2027-02-20,8427209000,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286625,2027-02-20,8427209000,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286640,2027-02-20,8427209000,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286655,2027-02-20,8427209000,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286670,2027-02-20,8427209000,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286685,2027-02-20,8427209000,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286700,2027-02-20,8427209000,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286715,2027-02-20,8427209000,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286730,2027-02-20,8427209000,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286745,2027-02-20,8427209000,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286760,2027-02-20,8427209000,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286775,2027-02-20,8427209000,Other,551,CN,14114,Joovoo Industries Inc
20286790,2027-02-20,8427209000,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286805,2027-02-20,8427209000,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286595,2027-02-20,8427209000,Other,551,CN,11386,All other overseas exporters (residual amount)
20286566,2027-02-20,8427900080,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286581,2027-02-20,8427900080,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286611,2027-02-20,8427900080,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286626,2027-02-20,8427900080,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286641,2027-02-20,8427900080,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286656,2027-02-20,8427900080,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286671,2027-02-20,8427900080,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286686,2027-02-20,8427900080,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286701,2027-02-20,8427900080,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286716,2027-02-20,8427900080,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286731,2027-02-20,8427900080,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286746,2027-02-20,8427900080,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286761,2027-02-20,8427900080,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286776,2027-02-20,8427900080,Other,551,CN,14114,Joovoo Industries Inc
20286791,2027-02-20,8427900080,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286806,2027-02-20,8427900080,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286596,2027-02-20,8427900080,Other,551,CN,11386,All other overseas exporters (residual amount)
20286567,2027-02-20,8428102000,Electrically operated,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286582,2027-02-20,8428102000,Electrically operated,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286612,2027-02-20,8428102000,Electrically operated,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286627,2027-02-20,8428102000,Electrically operated,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286642,2027-02-20,8428102000,Electrically operated,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286657,2027-02-20,8428102000,Electrically operated,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286672,2027-02-20,8428102000,Electrically operated,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286687,2027-02-20,8428102000,Electrically operated,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286702,2027-02-20,8428102000,Electrically operated,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286717,2027-02-20,8428102000,Electrically operated,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286732,2027-02-20,8428102000,Electrically operated,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286747,2027-02-20,8428102000,Electrically operated,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286762,2027-02-20,8428102000,Electrically operated,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286777,2027-02-20,8428102000,Electrically operated,551,CN,14114,Joovoo Industries Inc
20286792,2027-02-20,8428102000,Electrically operated,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286807,2027-02-20,8428102000,Electrically operated,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286597,2027-02-20,8428102000,Electrically operated,551,CN,11386,All other overseas exporters (residual amount)
20286568,2027-02-20,8428108000,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286583,2027-02-20,8428108000,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286613,2027-02-20,8428108000,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286628,2027-02-20,8428108000,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286643,2027-02-20,8428108000,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286658,2027-02-20,8428108000,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286673,2027-02-20,8428108000,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286688,2027-02-20,8428108000,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286703,2027-02-20,8428108000,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286718,2027-02-20,8428108000,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286733,2027-02-20,8428108000,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286748,2027-02-20,8428108000,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286763,2027-02-20,8428108000,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286778,2027-02-20,8428108000,Other,551,CN,14114,Joovoo Industries Inc
20286793,2027-02-20,8428108000,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286808,2027-02-20,8428108000,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286598,2027-02-20,8428108000,Other,551,CN,11386,All other overseas exporters (residual amount)
20286569,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286584,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14102,Lingong Heavy Machinery Co Ltd
20286614,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286629,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286644,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286659,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286674,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286689,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286704,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286719,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286734,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286749,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286764,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286779,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14114,Joovoo Industries Inc
20286794,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14115,Jinan Juxin Machinery Co Ltd
20286809,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286599,2027-02-20,8428909020,"Mobile access equipment designed for the lifting of persons, self-propelled, with a maximum working height of 6 meters o",551,CN,11386,All other overseas exporters (residual amount)
20286570,2027-02-20,8428909080,Other,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286585,2027-02-20,8428909080,Other,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286615,2027-02-20,8428909080,Other,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286630,2027-02-20,8428909080,Other,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286645,2027-02-20,8428909080,Other,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286660,2027-02-20,8428909080,Other,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286675,2027-02-20,8428909080,Other,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286690,2027-02-20,8428909080,Other,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286705,2027-02-20,8428909080,Other,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
20286720,2027-02-20,8428909080,Other,551,CN,14110,"XCMG Group, including:<br><br>&amp;bull; XCMG Fire-Fighting Safety Equipment Co Ltd, the PRC producer<br><br>&amp;bull; "
20286735,2027-02-20,8428909080,Other,551,CN,14111,Hunan Sinoboom Intelligent Equipment Co Ltd (“Sinoboom”)
20286750,2027-02-20,8428909080,Other,551,CN,14112,Haulotte Access Equipment Manufacturing (Changzhou) Co Ltd
20286765,2027-02-20,8428909080,Other,551,CN,14113,Shandong Chufeng Heavy Industry Machinery Co Ltd
20286780,2027-02-20,8428909080,Other,551,CN,14114,Joovoo Industries Inc
20286795,2027-02-20,8428909080,Other,551,CN,14115,Jinan Juxin Machinery Co Ltd
20286810,2027-02-20,8428909080,Other,551,CN,14091,Goods which do not fall within the goods description are excluded from the measure<BR><br><br>* These goods are excluded
20286600,2027-02-20,8428909080,Other,551,CN,11386,All other overseas exporters (residual amount)
20286571,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14101,Zhejiang Dingli Machinery Co Ltd
20286586,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14102,Lingong Heavy Machinery Co Ltd
20286616,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14103,Fronteq (Changzhou) Machinery Co Ltd.
20286631,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14104,Sunward Intelligent Equipment Co Ltd
20286646,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14105,Oshkosh JLG (Tianjin) Equipment Technology Co Ltd (“JLG Tianjin”)
20286661,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14106,"Jiangsu LiuGong Machinery Co Ltd, a PRC producer"
20286676,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14107,Terex (Changzhou) Machinery Co Ltd (“Terex Changzhou”)
20286691,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14108,Zoomlion Intelligent Access Machinery Co Ltd
20286706,2027-02-20,8431200060,Pre-assembled or ready-to-assemble sections of self-propelled mobile access equipment designed for the lifting of person,551,CN,14109,Hered (Shandong) Intelligent Technology Co Ltd
